Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
FERNANDO JOSE RODRIGUES LOBATO;FERNANDO LOBATO;50;APTO (Deferido);PSOL;50;-;-;Vice-Governador;Masculino;1965-06-30;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;BELEM / PA;;Não eleito;158352010;1922-13.2010.6.04.0000;12.170.010/0001-54;
IVAN CORREIA DA SILVA;IVAN SILVA;43;INAPTO (Renúncia);PV;43;O Amazonas de Todos Nós;PPS / PV / PSDB;Vice-Governador;Masculino;1969-04-26;Casado(a);Auxiliar de Escritório e Assemelhados;Superior incompleto;Brasileira nata;JUREMA / PE;;;165962010;2129-12.2010.6.04.0000;12.204.124/0001-78;
JOÃO QUEIROZ REBOUÇAS;JOÃO REBOUÇAS;16;APTO (Deferido);PSTU;16;-;-;Vice-Governador;Masculino;1959-07-18;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;MANAUS / AM;;Não eleito;156642010;1674-47.2010.6.04.0000;12.170.391/0001-71;
JOSE MELO DE OLIVEIRA;JOSE MELO;33;APTO (Deferido);PMDB;15;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B;Vice-Governador;Masculino;1946-09-29;Casado(a);Economista;Superior completo;Brasileira nata;MANAUS / AM;;Eleito;157282010;1858-03.2010.6.04.0000;12.167.881/0001-19;
MARCOS ANTONIO DA SILVA MARTINS;MARQUINHO DO MUTIRAO;21;APTO (Deferido);PCB;21;-;-;Vice-Governador;Masculino;1977-09-01;Solteiro(a);Trabalhador de Construção Civil;Ensino Médio completo;Brasileira nata;MANAUS / AM;;Não eleito;157372010;1934-27.2010.6.04.0000;12.178.555/0001-07;
MARIO JORGE MENDES DA SILVA;MARIO MENDES;23;APTO (Deferido);PSDB;45;O Amazonas de Todos Nós;PPS / PV / PSDB;Vice-Governador;Masculino;1976-03-21;Casado(a);Vereador;Superior incompleto;Brasileira nata;CUIABÁ / MT;;Não eleito;212872010;2445-25.2010.6.04.0000;12.332.413/0001-52;
SERAFIM FERNANDES CORREA;SERAFIM CORREA;22;APTO (Deferido);PSB;40;O AMAZONAS MELHOR PARA TODOS;PDT / PT / PSL / PR / PSDC / PSB / PT do B;Vice-Governador;Masculino;1947-04-03;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;MANAUS / AM;;Não eleito;156242010;1692-68.2010.6.04.0000;12.167.242/0001-53;
